trial_id,def_sex,offence,trial_place,trial_judge,verdict,trial_year,sentence
70909,MALE,LARCENY,ROCKHAMPTON,MILLER,GUILTY,1892,1-11 MONTHS HL
71041,MALE,LARCENY,ROMA,PAUL,GUILTY,1892,12-18 MONTHS HL
71497,MALE,FALSE PRETENCES,ROCKHAMPTON,MILLER,GUILTY,1892,12-18 MONTHS HL
71503,MALE,FALSE PRETENCES,ROCKHAMPTON,MILLER,NOT GUILTY,1892,DISCHARGED
71525,MALE,LARCENY,ROMA,PAUL,GUILTY,1892,12-18 MONTHS HL
71542,FEMALE,CATTLE STEALING,BRISBANE,MILLER,NOT GUILTY,1892,DISCHARGED
71544,MALE,LARCENY,ROMA,PAUL,GUILTY,1892,12-18 MONTHS HL
71549,MALE,LARCENY,BRISBANE,PAUL,GUILTY,1892,1-11 MONTHS HL
71551,MALE,LARCENY,ROMA,PAUL,GUILTY,1892,12-18 MONTHS HL
71654,MALE,LARCENY,TOWNSVILLE,NOEL,NOT GUILTY,1892,DISCHARGED
71656,MALE,LARCENY,TOWNSVILLE,NOEL,GUILTY,1892,1-11 MONTHS HL
71750,MALE,FALSE PRETENCES,CHARTERS TOWERS,NOEL,NOT GUILTY,1892,DISCHARGED
71754,MALE,LARCENY,CHARTERS TOWERS,NOEL,GUILTY,1892,2 YEARS HL
71755,MALE,LARCENY,CHARTERS TOWERS,NOEL,GUILTY,1892,2 YEARS HL
73466,MALE,FORGERY OR UTTERING,BRISBANE,PAUL,GUILTY,1894,SUSPENDED
73469,MALE,LARCENY,BRISBANE,PAUL,NOT GUILTY,1894,DISCHARGED
73591,MALE,LARCENY,ROCKHAMPTON,MILLER,GUILTY,1892,12-18 MONTHS HL
73595,MALE,LARCENY,ROCKHAMPTON,MILLER,GUILTY,1892,12-18 MONTHS HL
73623,MALE,EMBEZZLEMENT,BRISBANE,COCKLE,NOLLE,1876,DISCHARGED
73627,MALE,LARCENY,BRISBANE,COCKLE,GUILTY,1876,3 YEARS HL
73738,MALE,LARCENY,BUNDABERG,MILLER,NOT GUILTY,1899,DISCHARGED
73894,MALE,FALSE PRETENCES,BRISBANE,PAUL,GUILTY,1892,2 YEARS HL
73940,MALE,LARCENY,TOWNSVILLE,NOEL,GUILTY,1892,2 YEARS HL
73941,MALE,EMBEZZLEMENT,CHARTERS TOWERS,NOEL,GUILTY,1892,2 YEARS HL
73942,MALE,EMBEZZLEMENT,CHARTERS TOWERS,NOEL,GUILTY,1892,12-18 MONTHS HL
73943,FEMALE,LARCENY,ROCKHAMPTON,MILLER,GUILTY,1892,12-18 MONTHS HL
73944,MALE,LARCENY,CHARTERS TOWERS,NOEL,NOT GUILTY,1892,DISCHARGED
73946,MALE,HORSE STEALING,CHARTERS TOWERS,NOEL,GUILTY,1892,2 YEARS HL
73947,MALE,EMBEZZLEMENT,CHARTERS TOWERS,NOEL,GUILTY,1892,12-18 MONTHS HL
73948,MALE,FALSE PRETENCES,CHARTERS TOWERS,NOEL,NOT GUILTY,1892,DISCHARGED
73974,MALE,LARCENY,ROMA,PAUL,GUILTY,1892,1-11 MONTHS HL
73975,MALE,FORGERY OR UTTERING,ROMA,PAUL,GUILTY,1892,2 YEARS HL
74032,FEMALE,LARCENY,BUNDABERG,MILLER,NOT GUILTY,1895,DISCHARGED
74166,MALE,LARCENY,ROCKHAMPTON,MILLER,NOT GUILTY,1895,DISCHARGED
74173,MALE,LARCENY,BRISBANE,PAUL,GUILTY,1895,1-11 MONTHS HL
74176,MALE,EMBEZZLEMENT,BRISBANE,PAUL,GUILTY,1895,1-11 MONTHS HL
74177,MALE,EMBEZZLEMENT,BRISBANE,PAUL,GUILTY,1895,1-11 MONTHS HL
74194,MALE,LARCENY,BRISBANE,PAUL,NOT GUILTY,1892,DISCHARGED
74195,MALE,LARCENY,BRISBANE,PAUL,NOT GUILTY,1892,DISCHARGED
74196,MALE,LARCENY,BRISBANE,PAUL,NOT GUILTY,1892,DISCHARGED
74211,MALE,LARCENY,TOWNSVILLE,NOEL,GUILTY,1892,3 YEARS
74252,MALE,LARCENY,ROCKHAMPTON,MILLER,NOT GUILTY,1893,DISCHARGED
74254,MALE,LARCENY,ROCKHAMPTON,MILLER,GUILTY,1893,12-18 MONTHS HL
74367,MALE,LARCENY,ROCKHAMPTON,MILLER,GUILTY,1893,12-18 MONTHS HL
74376,MALE,LARCENY,ROCKHAMPTON,MILLER,GUILTY,1893,1-11 MONTHS HL
74377,MALE,FALSE PRETENCES,ROCKHAMPTON,MILLER,GUILTY,1893,2 YEARS HL
74431,MALE,LARCENY & RECEIVING,BRISBANE,LUTWYCHE,GUILTY,1877,2 YEARS HL
74432,MALE,LARCENY,BRISBANE,LUTWYCHE,GUILTY,1877,1-11 MONTHS HL
74433,MALE,LARCENY,ROCKHAMPTON,MILLER,GUILTY,1898,1-11 MONTHS HL
74499,MALE,LARCENY,TOWNSVILLE,NOEL,GUILTY,1893,1-11 MONTHS HL
74500,MALE,LARCENY,ROMA,PAUL,GUILTY,1892,SUSPENDED
74501,MALE,LARCENY,BUNDABERG,MILLER,GUILTY,1893,SUSPENDED
74805,MALE,LARCENY,BRISBANE,PAUL,NOT GUILTY,1892,DISCHARGED
74815,MALE,LARCENY,BRISBANE,PAUL,GUILTY,1892,2 YEARS HL
74876,MALE,HORSE STEALING,TOOWOOMBA,PAUL,GUILTY,1877,12-18 MONTHS HL
74890,MALE,LARCENY & RECEIVING,BRISBANE,LUTWYCHE,GUILTY,1877,12-18 MONTHS HL
75552,MALE,HORSE STEALING,TOOWOOMBA,LUTWYCHE,GUILTY,1877,12-18 MONTHS HL
75733,MALE,FALSE PRETENCES,TOWNSVILLE,NOEL,GUILTY,1892,1-11 MONTHS HL
75974,MALE,LARCENY,TOWNSVILLE,NOEL,NOT GUILTY,1892,DISCHARGED
76002,MALE,LARCENY,BUNDABERG,MILLER,GUILTY,1899,1-11 MONTHS HL
76029,MALE,LARCENY,BRISBANE,PAUL,NOT GUILTY,1893,DISCHARGED
76060,MALE,LARCENY,CHARTERS TOWERS,NOEL,NOLLE,1893,DISCHARGED
76061,MALE,LARCENY,CHARTERS TOWERS,NOEL,GUILTY,1893,2 YEARS HL
76069,MALE,LARCENY,CHARTERS TOWERS,NOEL,GUILTY,1893,12-18 MONTHS HL
76071,MALE,LARCENY,BRISBANE,PAUL,GUILTY,1893,1-11 MONTHS HL
76090,MALE,EMBEZZLEMENT,ROCKHAMPTON,MILLER,GUILTY,1892,12-18 MONTHS HL
77000,MALE,EMBEZZLEMENT,MARYBOROUGH,MILLER,GUILTY,1893,3 YEARS HL
77007,MALE,LARCENY,MARYBOROUGH,MILLER,NOT GUILTY,1893,DISCHARGED
77116,MALE,LARCENY,MARYBOROUGH,LUTWYCHE,GUILTY,1860,1-11 MONTHS HL
77117,MALE,LARCENY,MARYBOROUGH,LUTWYCHE,GUILTY,1860,1-11 MONTHS HL
77134,MALE,LARCENY,TOOWOOMBA,PAUL,NOT GUILTY,1893,DISCHARGED
77196,MALE,LARCENY,MARYBOROUGH,LUTWYCHE,GUILTY,1861,12-18 MONTHS HL
77210,MALE,LARCENY & RECEIVING,MARYBOROUGH,LUTWYCHE,GUILTY,1861,1-11 MONTHS HL
77222,MALE,FALSE PRETENCES,MARYBOROUGH,LUTWYCHE,NOT GUILTY,1861,DISCHARGED
77324,MALE,LARCENY,ROCKHAMPTON,COCKLE,NOT GUILTY,1864,DISCHARGED
77325,MALE,LARCENY,ROCKHAMPTON,COCKLE,NOT GUILTY,1864,DISCHARGED
77353,MALE,FORGERY OR UTTERING,TOOWOOMBA,LUTWYCHE,GUILTY,1864,2 YEARS HL
77354,MALE,FORGERY OR UTTERING,TOOWOOMBA,LUTWYCHE,NOLLE,1864,DISCHARGED
77355,MALE,FORGERY OR UTTERING,TOOWOOMBA,LUTWYCHE,NOT GUILTY,1864,DISCHARGED
77409,MALE,HORSE STEALING,MARYBOROUGH,LUTWYCHE,GUILTY,1861,2 YEARS HL
77428,MALE,LARCENY & RECEIVING,MARYBOROUGH,LUTWYCHE,GUILTY,1861,12-18 MONTHS HL
77429,MALE,LARCENY & RECEIVING,MARYBOROUGH,LUTWYCHE,GUILTY,1861,12-18 MONTHS HL
77520,MALE,HORSE STEALING,MARYBOROUGH,LUTWYCHE,GUILTY,1862,1-11 MONTHS HL
77622,MALE,LARCENY,TOOWOOMBA,COCKLE,GUILTY,1864,1-11 MONTHS HL
77628,MALE,LARCENY,BRISBANE,COCKLE,NOT GUILTY,1864,DISCHARGED
77838,MALE,LARCENY,BRISBANE,NOEL,GUILTY,1899,1-11 MONTHS HL
77984,MALE,LARCENY,BRISBANE,LUTWYCHE,GUILTY,1864,12-18 MONTHS HL
77985,MALE,CATTLE STEALING,BRISBANE,LUTWYCHE,NOT GUILTY,1864,DISCHARGED
77986,MALE,FALSE PRETENCES,BRISBANE,LUTWYCHE,GUILTY,1864,12-18 MONTHS HL
78011,MALE,LARCENY & RECEIVING,TOOWOOMBA,LUTWYCHE,NOT GUILTY,1865,DISCHARGED
78028,MALE,LARCENY,BRISBANE,COCKLE,GUILTY,1865,12-18 MONTHS HL
78029,MALE,LARCENY & RECEIVING,BRISBANE,COCKLE,GUILTY,1865,1-11 MONTHS HL
78030,MALE,LARCENY & RECEIVING,BRISBANE,COCKLE,NOT GUILTY,1865,DISCHARGED
78033,MALE,LARCENY,BRISBANE,COCKLE,NOT GUILTY,1865,DISCHARGED
78037,MALE,LARCENY,BRISBANE,LUTWYCHE,GUILTY,1864,12-18 MONTHS HL
78038,MALE,LARCENY,BRISBANE,LUTWYCHE,GUILTY,1864,1-11 MONTHS HL
78039,MALE,FORGERY OR UTTERING,BRISBANE,LUTWYCHE,GUILTY,1864,12-18 MONTHS HL
78060,MALE,FORGERY OR UTTERING,ROCKHAMPTON,COCKLE,GUILTY,1865,12-18 MONTHS HL
78062,MALE,HORSE STEALING,ROCKHAMPTON,COCKLE,NOT GUILTY,1865,DISCHARGED
78069,MALE,LARCENY,ROCKHAMPTON,COCKLE,GUILTY,1865,12-18 MONTHS HL
78076,MALE,LARCENY,ROCKHAMPTON,MILLER,GUILTY,1892,12-18 MONTHS HL
78077,MALE,LARCENY,TOWNSVILLE,NOEL,GUILTY,1892,3 YEARS
78082,MALE,CATTLE STEALING,MARYBOROUGH,MILLER,GUILTY,1892,4 YEARS HL
78094,FEMALE,LARCENY,MARYBOROUGH,MILLER,GUILTY,1892,12-18 MONTHS HL
78095,FEMALE,LARCENY,MARYBOROUGH,MILLER,GUILTY,1892,12-18 MONTHS HL
78283,MALE,HORSE STEALING,ROCKHAMPTON,COCKLE,GUILTY,1865,3 YEARS HL
78334,MALE,LARCENY & RECEIVING,TOOWOOMBA,COCKLE,NOT GUILTY,1865,DISCHARGED
78434,MALE,HORSE STEALING,ROCKHAMPTON,LUTWYCHE,GUILTY,1865,5 YEARS HL
78662,MALE,LARCENY & RECEIVING,MARYBOROUGH,LUTWYCHE,NOT GUILTY,1862,DISCHARGED
78677,MALE,LARCENY & RECEIVING,TOOWOOMBA,COCKLE,NOT GUILTY,1866,DISCHARGED
78680,MALE,LARCENY,TOOWOOMBA,COCKLE,GUILTY,1865,1-11 MONTHS HL
78693,MALE,LARCENY,TOOWOOMBA,COCKLE,GUILTY,1865,1-11 MONTHS HL
78698,MALE,LARCENY & RECEIVING,BRISBANE,COCKLE,GUILTY,1865,1-11 MONTHS HL
78704,MALE,LARCENY,BRISBANE,COCKLE,NOT GUILTY,1865,DISCHARGED
78726,MALE,EMBEZZLEMENT,ROCKHAMPTON,LUTWYCHE,NOT GUILTY,1865,DISCHARGED
78736,MALE,LARCENY & RECEIVING,MARYBOROUGH,LUTWYCHE,NOT GUILTY,1862,DISCHARGED
78739,MALE,LARCENY & RECEIVING,MARYBOROUGH,LUTWYCHE,NOT GUILTY,1862,DISCHARGED
78751,MALE,LARCENY,ROCKHAMPTON,LUTWYCHE,GUILTY,1865,1-11 MONTHS HL
78752,MALE,LARCENY,MARYBOROUGH,LUTWYCHE,GUILTY,1862,1-11 MONTHS HL
79007,MALE,LARCENY,BRISBANE,LUTWYCHE,NOT GUILTY,1878,DISCHARGED
79036,MALE,HORSE STEALING,MARYBOROUGH,COCKLE,GUILTY,1865,2 YEARS HL
79049,MALE,HORSE STEALING,MARYBOROUGH,COCKLE,NOT GUILTY,1865,DISCHARGED
79057,MALE,HORSE STEALING,MARYBOROUGH,COCKLE,GUILTY,1865,1-11 MONTHS HL
79101,MALE,HORSE STEALING,MARYBOROUGH,LUTWYCHE,NOT GUILTY,1865,DISCHARGED
79498,MALE,LARCENY,ROCKHAMPTON,MILLER,NOT GUILTY,1899,DISCHARGED
79577,MALE,LARCENY,IPSWICH,NOEL,NOLLE,1899,DISCHARGED
79633,MALE,HORSE STEALING,TOOWOOMBA,COCKLE,GUILTY,1866,3 YEARS
79643,MALE,HORSE STEALING,TOOWOOMBA,COCKLE,NOT GUILTY,1866,DISCHARGED
79664,MALE,HORSE STEALING,ROCKHAMPTON,LUTWYCHE,GUILTY,1866,12-18 MONTHS HL
79667,MALE,LARCENY,TOOWOOMBA,COCKLE,NOT GUILTY,1866,DISCHARGED
80269,MALE,LARCENY & RECEIVING,MARYBOROUGH,LUTWYCHE,GUILTY,1868,1-11 MONTHS HL
80302,MALE,FALSE PRETENCES,MARYBOROUGH,LUTWYCHE,NOLLE,1868,DISCHARGED
80318,MALE,LARCENY,MARYBOROUGH,COCKLE,NOLLE,1868,DISCHARGED
80324,MALE,LARCENY & RECEIVING,MARYBOROUGH,COCKLE,GUILTY,1868,1-11 MONTHS HL
80328,MALE,CATTLE STEALING,MARYBOROUGH,COCKLE,NOLLE,1868,DISCHARGED
