"Squirrel Census data collected by a team of dedicated volunteer Squirrel Surveyors, under directions from the Dept. of Data - NYC.",,,,,,,,,,,,
The Squirrel Census covered 24 parks in New York City.,,,,,,,,,,,,
Data was collected over a 1 year period; March 2020 to Febuary 2021.,,,,,,,,,,,,
,,,,,,,,,,,,
Area,Park name,Park ID,Date,Squirrel ID,Squirrel count,Fur colour,Location,Activities; Interactions with Humans,Other Notes or Observations,Latitude,Longitude,Acres
UPPER MANHATTAN,J. Hood Wright Park,M099,3/10/2020,M099-24,1,Cinnamon; White,"Above Ground, Specific Location: tree",Sitting; Indifferent to humans,,40.847113,-73.940937,6.699
UPPER MANHATTAN,Highbridge Park,M037,27/02/2021,M037-01,1,Gray; Cinnamon,"Above Ground, Specific Location: in tree","Chasing, Climbing; Watches us from tree",#1 and #2 chasing each other,40.841178,-73.935482,130.1
UPPER MANHATTAN,Highbridge Park,M037,27/02/2021,M037-02,1,Gray; White,"Above Ground, Specific Location: in tree","Chasing, Climbing, Eating; Runs from humans",#1 and #2 chasing each other,40.841204,-73.935434,130.1
UPPER MANHATTAN,Highbridge Park,M037,27/02/2021,M037-03,1,Gray; White,"Above Ground, Specific Location: in tree",Running,,40.841212,-73.934827,130.1
UPPER MANHATTAN,Highbridge Park,M037,27/02/2021,M037-04,1,Gray; White,Above Ground,Climbing,,40.841217,-73.934714,130.1
UPPER MANHATTAN,Highbridge Park,M037,27/02/2021,M037-05,1,Gray; Cinnamon,On ground,Running; Runs from humans,"#5, #6 & #7 together in shrub area to East, a lot of acorns and Corona bottle caps on ground",40.841359,-73.934339,130.1
UPPER MANHATTAN,Highbridge Park,M037,27/02/2021,M037-06,1,Gray,"Above Ground, Specific Location: in tree","Running; Runs from humans, watchful","#5, #6 & #7 together in shrub area to East, a lot of acorns and Corona bottle caps on ground",40.841375,-73.934242,130.1
UPPER MANHATTAN,Highbridge Park,M037,27/02/2021,M037-07,1,Gray; Cinnamon,"Above Ground, Specific Location: on log",Running; Runs from humans,"#5, #6 & #7 together in shrub area to East, a lot of acorns and Corona bottle caps on ground",40.841375,-73.934242,130.1
UPPER MANHATTAN,Highbridge Park,M037,27/02/2021,M037-08,1,Gray; Cinnamon,"Above Ground, Specific Location: in wall","Running, Chasing, Climbing; Runs from humans","#8 & #9 saw together at start of river overlook, hiding in cracks of cement wall! so cool!",40.842308,-73.933061,130.1
UPPER MANHATTAN,Highbridge Park,M037,27/02/2021,M037-09,1,Gray; Cinnamon,"Above Ground, Specific Location: in wall",,"#8 & #9 saw together at start of river overlook, hiding in cracks of cement wall! so cool!",40.842401,-73.932986,130.1
